chemin,paquet,classe
/home/mastas/eclipse-workspace/ckjm/src/ckjm/Moteur.java,home.mastas.eclipse-workspace.ckjm.src.ckjm,Moteur
/home/mastas/eclipse-workspace/ckjm/src/ckjm/Voiture.java,home.mastas.eclipse-workspace.ckjm.src.ckjm,Voiture
